DROP TABLE
SELECT 251
DROP TABLE
SELECT 202
 type  | year | month | agg_count | disagg_count |  diff   | pct_diff 
 VIA   | 2017 |    12 |   1001294 |      1001294 |       0 |     0.00
 VIA   | 2018 |     1 |   1016794 |      1016794 |       0 |     0.00
 VIA   | 2018 |     2 |    928405 |       928405 |       0 |     0.00
 VIA   | 2018 |     3 |   1027292 |      1027292 |       0 |     0.00
 VIA   | 2018 |     4 |   1003354 |      1003354 |       0 |     0.00
 VIA   | 2018 |     5 |   1011268 |      1011268 |       0 |     0.00
 VIA   | 2018 |     6 |    744501 |       744501 |       0 |     0.00
 VIA   | 2018 |     7 |    852703 |       852703 |       0 |     0.00
 VIA   | 2018 |     8 |    878956 |       878956 |       0 |     0.00
 VIA   | 2018 |     9 |    940708 |       940482 |     226 |     0.02
 VIA   | 2018 |    10 |   1072428 |      1071979 |     449 |     0.04
 VIA   | 2018 |    11 |    955964 |       955869 |      95 |     0.01
 VIA   | 2018 |    12 |    913209 |       912937 |     272 |     0.03
(220 rows)

 type | year | month | agg_count | disagg_count | diff  | pct_diff 
------+------+-------+-----------+--------------+-------+----------
      | 2018 |    11 |     16881 |        10461 |  6420 |    38.03
      | 2018 |     7 |      2050 |         1765 |   285 |    13.90
      | 2018 |    12 |     22227 |        11977 | 10250 |    46.12
      | 2018 |     9 |     10404 |         4995 |  5409 |    51.99
      | 2018 |     8 |      5531 |         5046 |   485 |     8.77
      | 2018 |     6 |       835 |          514 |   321 |    38.44
      | 2018 |    10 |     15660 |        10160 |  5500 |    35.12
(7 rows)

