 year |   pickup_datetime   
 2008 | 2008-12-31 23:04:51
 2008 | 2008-12-31 23:04:57
 2008 | 2008-12-31 23:05:08
 2008 | 2008-12-31 23:05:11
 2008 | 2008-12-31 23:05:23
 2008 | 2008-12-31 23:05:25
 2008 | 2008-12-31 23:05:28
 2008 | 2008-12-31 23:05:29
 2008 | 2008-12-31 23:05:35
 2008 | 2008-12-31 23:05:35
 2008 | 2008-12-31 23:05:39
 2008 | 2008-12-31 23:05:46
 2008 | 2008-12-31 23:05:46
 2008 | 2008-12-31 23:05:51
 2008 | 2008-12-31 23:05:51
 2008 | 2008-12-31 23:06:08
 2008 | 2008-12-31 23:06:08
 2008 | 2008-12-31 23:06:21
 2008 | 2008-12-31 23:06:24
 2008 | 2008-12-31 23:06:27
 2008 | 2008-12-31 23:06:30
 2008 | 2008-12-31 23:06:32
 2008 | 2008-12-31 23:06:34
 2008 | 2008-12-31 23:06:45
 2008 | 2008-12-31 23:06:46
 2008 | 2008-12-31 23:06:54
 2008 | 2008-12-31 23:07:01
 2008 | 2008-12-31 23:07:10
 2008 | 2008-12-31 23:07:36
 2008 | 2008-12-31 23:07:58
 2008 | 2008-12-31 23:08:07
 2008 | 2008-12-31 23:08:11
 2008 | 2008-12-31 23:08:11
 2008 | 2008-12-31 23:08:20
 2008 | 2008-12-31 23:08:24
 2008 | 2008-12-31 23:08:28
 2008 | 2008-12-31 23:09:10
 2008 | 2008-12-31 23:09:15
 2008 | 2008-12-31 23:09:21
 2008 | 2008-12-31 23:09:26
 2008 | 2008-12-31 23:09:32
 2008 | 2008-12-31 23:09:54
 2008 | 2008-12-31 23:09:57
 2008 | 2008-12-31 23:10:24
 2008 | 2008-12-31 23:10:24
 2008 | 2008-12-31 23:10:24
 2008 | 2008-12-31 23:10:29
 2008 | 2008-12-31 23:10:43
 2008 | 2008-12-31 23:10:44
 2008 | 2008-12-31 23:10:46
 2008 | 2008-12-31 23:11:22
 2008 | 2008-12-31 23:11:35
 2008 | 2008-12-31 23:11:56
 2008 | 2008-12-31 23:12:02
 2008 | 2008-12-31 23:12:07
 2008 | 2008-12-31 23:12:21
 2008 | 2008-12-31 23:12:23
 2008 | 2008-12-31 23:12:31
 2008 | 2008-12-31 23:13:09
 2008 | 2008-12-31 23:13:10
 2008 | 2008-12-31 23:13:13
 2008 | 2008-12-31 23:13:27
 2008 | 2008-12-31 23:13:41
 2008 | 2008-12-31 23:13:49
 2008 | 2008-12-31 23:13:59
 2008 | 2008-12-31 23:14:08
 2008 | 2008-12-31 23:14:20
 2008 | 2008-12-31 23:14:34
 2008 | 2008-12-31 23:14:36
 2008 | 2008-12-31 23:14:48
 2008 | 2008-12-31 23:14:55
 2008 | 2008-12-31 23:14:57
 2008 | 2008-12-31 23:15:04
 2008 | 2008-12-31 23:15:06
 2008 | 2008-12-31 23:15:40
 2008 | 2008-12-31 23:15:43
 2008 | 2008-12-31 23:15:57
 2008 | 2008-12-31 23:16:03
 2008 | 2008-12-31 23:16:27
 2008 | 2008-12-31 23:16:48
 2008 | 2008-12-31 23:16:49
 2008 | 2008-12-31 23:16:51
 2008 | 2008-12-31 23:16:53
 2008 | 2008-12-31 23:17:10
 2008 | 2008-12-31 23:17:18
 2008 | 2008-12-31 23:17:36
 2008 | 2008-12-31 23:17:37
 2008 | 2008-12-31 23:17:49
 2008 | 2008-12-31 23:18:09
 2008 | 2008-12-31 23:18:12
 2008 | 2008-12-31 23:18:15
 2008 | 2008-12-31 23:18:19
 2008 | 2008-12-31 23:18:51
 2008 | 2008-12-31 23:18:57
 2008 | 2008-12-31 23:19:05
 2008 | 2008-12-31 23:19:17
 2008 | 2008-12-31 23:19:57
 2008 | 2008-12-31 23:20:18
 2008 | 2008-12-31 23:20:26
 2008 | 2008-12-31 23:22:05
 2008 | 2008-12-31 23:22:06
 2008 | 2008-12-31 23:22:22
 2008 | 2008-12-31 23:22:40
 2008 | 2008-12-31 23:23:05
 2008 | 2008-12-31 23:23:10
 2008 | 2008-12-31 23:23:15
 2008 | 2008-12-31 23:23:16
 2008 | 2008-12-31 23:23:20
 2008 | 2008-12-31 23:23:45
